date,portfolio_value,cash,n_positions,regime
2023-10-17,88692.93997119488,88692.93997119488,0,0
2023-10-18,88692.93997119488,88692.93997119488,0,0
2023-10-19,88692.93997119488,88692.93997119488,0,0
2023-10-20,88692.93997119488,88692.93997119488,0,0
2023-10-23,88692.93997119488,88692.93997119488,0,0
2023-10-24,88692.93997119488,88692.93997119488,0,0
2023-10-25,88692.93997119488,88692.93997119488,0,0
2023-10-26,88692.93997119488,88692.93997119488,0,0
2023-10-27,88692.93997119488,88692.93997119488,0,0
2023-10-30,88692.93997119488,88692.93997119488,0,0
2023-10-31,88692.93997119488,88692.93997119488,0,0
2023-11-01,88692.93997119488,88692.93997119488,0,0
2023-11-02,88692.93997119488,88692.93997119488,0,0
2023-11-03,88692.93997119488,88692.93997119488,0,0
2023-11-06,88692.93997119488,88692.93997119488,0,0
2023-11-07,88692.93997119488,88692.93997119488,0,0
2023-11-08,88692.93997119488,88692.93997119488,0,0
2023-11-09,88692.93997119488,88692.93997119488,0,0
2023-11-10,88692.93997119488,88692.93997119488,0,0
2023-11-13,88692.93997119488,88692.93997119488,0,0
2023-11-14,88692.93997119488,88692.93997119488,0,0
2023-11-15,88692.93997119488,88692.93997119488,0,0
2023-11-16,88692.93997119488,88692.93997119488,0,0
2023-11-17,88692.93997119488,88692.93997119488,0,0
2023-11-20,88692.93997119488,88692.93997119488,0,0
2023-11-21,88692.93997119488,88692.93997119488,0,0
2023-11-22,88692.93997119488,88692.93997119488,0,0
2023-11-23,88692.93997119488,88692.93997119488,0,0
2023-11-24,88692.93997119488,88692.93997119488,0,0
2023-11-27,88692.93997119488,88692.93997119488,0,0
2023-11-28,88692.93997119488,88692.93997119488,0,0
2023-11-29,88692.93997119488,88692.93997119488,0,0
2023-11-30,88692.93997119488,88692.93997119488,0,0
2023-12-01,88692.93997119488,88692.93997119488,0,0
2023-12-04,88692.93997119488,88692.93997119488,0,0
2023-12-05,88692.93997119488,88692.93997119488,0,0
2023-12-06,88692.93997119488,88692.93997119488,0,0
2023-12-07,88692.93997119488,88692.93997119488,0,0
2023-12-08,88692.93997119488,88692.93997119488,0,0
2023-12-11,88692.93997119488,88692.93997119488,0,0
2023-12-12,88692.93997119488,88692.93997119488,0,0
2023-12-13,88692.93997119488,88692.93997119488,0,0
2023-12-14,88692.93997119488,88692.93997119488,0,0
2023-12-15,88692.93997119488,88692.93997119488,0,0
2023-12-18,88692.93997119488,88692.93997119488,0,0
2023-12-19,88692.93997119488,88692.93997119488,0,0
2023-12-20,88692.93997119488,88692.93997119488,0,0
2023-12-21,88692.93997119488,88692.93997119488,0,0
2023-12-22,88692.93997119488,88692.93997119488,0,0
2023-12-25,88692.93997119488,88692.93997119488,0,0
2023-12-26,88692.93997119488,88692.93997119488,0,0
